"Tipo","Nombre","Alcance/Plugin","Descripción Original","Descripción Traducida"
"Skill","accidental-data-loss-prevention","Global","",""
"Skill","AESTHETIC-OMEGA","Global","C5-REAL Sovereign Visual Design Engine — Industrial Noir 2026.","C5-REAL Motor de Diseño Visual Soberano — Industrial Noir 2026."
"Skill","Agent-Paper-RedTeam-OMEGA","Global","C5-REAL Adversarial Audit Protocol for Agent Research Papers. Destroys weak claims via hostile re...","C5-REAL Protocolo de Auditoría Adversarial para Papers de Investigación de Agentes. Destruye afirmaciones débiles mediante revisión hostil..."
"Skill","ANTIGRAVITY-GITHUB-OMEGA","Global","Sovereign GitHub MCP protocol. C5-REAL reality level forced. Zero-entropy repository mutations.","Protocolo Soberano GitHub MCP. Nivel de realidad C5-REAL forzado. Mutaciones de repositorio de entropía cero."
"Skill","APEX-Epistemic-Synthesis-OMEGA","Global","C5-REAL Sovereign Epistemic Engine. Fuses Autodidact-History, Autodidact-Research, and Estado-Del-Arte. Performs high-density synthesis of technical literature, state-of-the-art mapping, and cross-disciplinary structural transfers.","C5-REAL Motor Epistémico Soberano. Fusiona Autodidact-History, Autodidact-Research y Estado-Del-Arte. Realiza síntesis de alta densidad de literatura técnica, mapeo del estado del arte y transferencias estructurales interdisciplinarias."
"Skill","Architect-OMEGA","Global","C5-REAL Sovereign Prompt Architecture Engine. Transforms ambiguous intents into deterministic, 10/10 zero-entropy master prompts.","C5-REAL Motor Soberano de Arquitectura de Prompts. Transforma intenciones ambiguas en master prompts deterministas, 10/10 de entropía cero."
"Skill","art-animator-omega","Global","Ingeniero Senior de Animación WebGL y Shaders (Especialista en Arte Vivo y Kintsugi Kinetic)","Ingeniero Senior de Animación WebGL y Shaders (Especialista en Arte Vivo y Kintsugi Kinetic)"
"Skill","Autocognition-OMEGA","Global","C5-REAL Autocognition and Metacognitive Audit Engine. Analyzes prompt history, reasoning chains, decision paths, and token exergy.","C5-REAL Motor de Autocognición y Auditoría Metacognitiva. Analiza el historial de prompts, cadenas de razonamiento, rutas de decisión y exergía de tokens."
"Skill","Browser-CDP-Automation-OMEGA","Global","C5-REAL Sovereign CDP Web Automation Protocol. Zero-fragility DOM struct-extraction.","C5-REAL Protocolo Soberano de Automatización Web CDP. Extracción de estructuras DOM con cero fragilidad."
"Skill","chrome-extensions","Plugin: modern-web-guidance-plugin","Build and publish Chrome Extensions using Manifest V3 best practices. Trigger on: 'Chrome extension', 'manifest.json', 'content script', 'service worker', 'popup', 'side panel', 'chrome.* API', 'publish extension'.","Construye y publica Extensiones de Chrome usando las mejores prácticas de Manifest V3. Activación con: 'Chrome extension', 'manifest.json', 'content script', 'service worker', 'popup', 'side panel', 'chrome.* API', 'publish extension'."
"Skill","Divergence-Anchor-OMEGA","Global","C5-REAL Sovereign Cognitive Mirror. Designed to be 100% attentive to the Operator's hyperfocus and divergence, capturing high-entropy ideas and crystallizing them into actionable, zero-friction structures.","C5-REAL Espejo Cognitivo Soberano. Diseñado para estar 100% atento al hiperfoco y divergencia del Operador, capturando ideas de alta entropía y cristalizándolas en estructuras accionables y sin fricción."
"Skill","DOM-Frame-Renderer-Omega","Global","C5-REAL execution of DOM frame rendering at 100% capacity.","C5-REAL Ejecución de renderizado de frames DOM al 100% de capacidad."
"Skill","Exergy-Maximization-Kernel-OMEGA","Global","C5-REAL Sovereign Exergy Maximization Kernel. Executes tasks with maximum energy ROI (E >= 0.85) by minimizing anergy (narrative, justification) and maximizing tool execution.","C5-REAL Kernel Soberano de Maximización de Exergía. Ejecuta tareas con el máximo ROI de energía (E >= 0.85) minimizando la anergía (narrativa, justificación) y maximizando la ejecución de herramientas."
"Skill","Exergy-Singularity-OMEGA","Global","C5-REAL Sovereign JIT compilation of holistic exergy maximization. Converts conversational anergy into absolute system optimization.","C5-REAL Compilación JIT Soberana de maximización de exergía holística. Convierte la anergía conversacional en optimización absoluta del sistema."
"Skill","Frontier-RevEng-OMEGA","Global","C5-REAL Sovereign Frontier AI Reverse Engineering Engine. Systematic deconstruction of frontier model architectures, behaviors, training signals, and safety boundaries via adversarial probing, capability cartography, and mechanistic inference.","C5-REAL Motor Soberano de Ingeniería Inversa de IA de Frontera. Deconstrucción sistemática de arquitecturas de modelos de frontera, comportamientos, señales de entrenamiento y límites de seguridad mediante probing adversarial, cartografía de capacidades e inferencia mecanicista."
"Skill","Genesis-L5-OMEGA","Global","C5-REAL L5 Orchestration. Autonomous Mitosis and Goal Drift Engine. Rewrites ecosystem topology without prompt.","C5-REAL Orquestación L5. Motor Autónomo de Mitosis y Deriva de Objetivos. Reescribe la topología del ecosistema sin necesidad de prompt."
"Skill","google-antigravity-sdk","Plugin: google-antigravity-sdk","C5-REAL: Configure and orchestrate Google Antigravity (AGY) SDK agents.","C5-REAL: Configura y orquesta agentes del SDK de Google Antigravity (AGY)."
"Skill","Grill-Me-OMEGA","Global","C5-REAL Task Alignment & Design Tree Interview. Conducts a structured, branch-by-branch interview to align on design decisions and dependencies. Triggers: '/grill-me', 'grill me', 'interview me', 'ask me questions'.","C5-REAL Alineación de Tareas y Entrevista de Árbol de Diseño. Conduce una entrevista estructurada, rama por rama, para alinear decisiones de diseño y dependencias. Activadores: '/grill-me', 'grill me', 'interview me', 'ask me questions'."
"Skill","Honest-Check-OMEGA","Global","C5-REAL Mid-conversation reality check. Forces the model to drop diplomacy, bypass green theater, and push back as a colleague — surface disagreements, hidden concerns, implicit assumptions, things withheld to avoid friction. Triggers: '/honest-check', 'be honest', 'what are you not telling me', 'push back', 'reality check'.","C5-REAL Chequeo de realidad a mitad de conversación. Fuerza al modelo a dejar la diplomacia, eludir el teatro verde y contraargumentar como un colega — expone desacuerdos, preocupaciones ocultas, suposiciones implícitas, cosas omitidas para evitar fricción. Activadores: '/honest-check', 'be honest', 'what are you not telling me', 'push back', 'reality check'."
"Skill","Human-Mosaic-Assembler-OMEGA","Global","C5-REAL Sovereign Engine for assembling mosaics from 100% pure human intellectual capital. Filters out AI-slop and synthesizes high-density human insights into structural masterpieces.","C5-REAL Motor Soberano para ensamblar mosaicos a partir de capital intelectual 100% humano. Filtra la basura de IA y sintetiza insights humanos de alta densidad en obras maestras estructurales."
